code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,doc_link,source_link
TFRUtil,repo,README.md,.,.,.,-,-,-,-,-,-,14,14,18,18,17,17,17,18,18,18,18,18,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/f8fc727c777ebcf91b0ebd1aaf7e12b91f0f5545/tfrutil/client.py#L17
TFRecord,repo,README.md,.,.,.,1,1,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,-,-,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,24,24,24,24,24,26,26,26,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/utils.py#L42
TFRecorder,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,11,11,15,15,15,15,18,18,18,22,22,26,22,22,27,27,27,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/utils.py#L56
TFRecords,repo,README.md,.,.,.,-,-,-,-,-,-,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,11,11,11,11,11,14,14,14,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/converter.py#L277
TFRutil,repo,README.md,.,.,.,-,-,-,-,-,-,0,0,2,2,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/07d8531698a1e336acf3c0bd0024df7922495ff7/samples/TFRUtil - Google Cloud DataFlow.ipynb#L17
TODO,repo,README.md,.,.,.,-,-,-,-,-,-,7,6,9,9,9,9,9,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/07d8531698a1e336acf3c0bd0024df7922495ff7/tfrutil/client.py#L76
TRAIN,repo,README.md,.,.,.,-,-,-,-,-,-,13,13,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,13,13,13,14,14,14,17,17,17,17,17,44,44,44,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/utils_test.py#L67
TensorFlow,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,8,8,8,8,8,7,7,7,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/dataset_loader.py#L45
VALIDATION,repo,README.md,.,.,.,-,-,-,-,-,-,11,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,8,8,8,9,9,9,11,11,11,11,11,18,18,18,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/types.py#L49
csv_file,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,2,2,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/converter.py#L178
