code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,doc_link,source_link
US,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,329,335,339,339,339,339,349,352,352,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/regions.py#L75
US-DE.png,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,code_element is a file name
WP,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,-,-,-,-,-,-,-,-,-,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/a2ecdc3ba2ef81ecd9842ee1b99e5e28b1f2fd04/regions-wp.py#L8
data/ALIASES,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,3,3,3,3,3,3,3,3,3,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/regions-wp.py#L22
data/ALIASES-WP,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/regions-wp.py#L7
dos2unix,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/download-wp.sh#L35
html,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,1136,1187,1187,1187,1187,1187,1192,1197,1240,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/make-aliases.sh#L3
iso:code:3166:CA,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,1,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/data/iso-3166-2-ca.tsv#L2
iso:code:3166:GB,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/data/iso-3166-2-gb.tsv#L2
iso:code:3166:US,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/data/iso-3166-2-us.tsv#L2
language-subtag-private,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/regions.py#L47
language-subtag-registry,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/regions.py#L46
make-aliases.sh,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,code_element is a file name
missing.sh,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,code_element is a file name
optipng,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/download-wp.sh#L50
png,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,15747,16571,16545,16545,16545,16523,16796,16848,17285,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/svg/SX.svg#L18
public_domain,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,271,271,271,373,386,385,385,385,385,387,390,407,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/html/ZW.html#L97
regions-wp.py,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/download-wp.sh#L4
regions.py,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/missing.sh#L3
rsvg-convert,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/download-wp.sh#L45
svg,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,41210,43226,43087,43087,43087,43026,43210,43339,44737,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/README.md,https://github.com/google/region-flags/blob/0e84c211b1aa531d829867aab35bed35822796ff/svg/ZW.svg#L2
