code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,doc_link,source_link
GETMOUSE,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/examples/mouse.html#L21
INKEY,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,6,6,6,6,6,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/examples/slides.html#L68
IS,repo,README.md,13,13,14,14,14,15,16,16,16,17,17,17,18,19,19,19,19,19,20,20,21,21,21,21,22,22,23,23,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,30,30,36,36,37,37,38,38,39,40,41,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48,48,49,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L10
KIND,repo,README.md,13,13,14,14,14,15,16,16,16,17,17,17,18,19,19,19,19,19,20,20,21,21,21,21,22,22,23,23,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,30,30,36,36,37,37,38,38,39,40,41,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48,48,49,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L11
LICENSE,repo,README.md,13,13,14,14,14,15,16,16,16,17,17,17,18,19,19,19,19,19,20,20,21,21,21,21,22,22,23,23,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,30,30,37,37,38,38,39,39,40,41,42,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,49,49,50,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L7
LINE,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,14,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/examples/polargrapher.html#L40
LLC,repo,README.md,11,11,12,12,12,13,14,14,14,15,15,15,16,17,17,17,17,17,18,18,19,19,19,19,20,20,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,28,28,34,34,35,35,36,36,37,38,39,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,46,46,47,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L1
NEXT,repo,README.md,11,11,11,11,11,11,11,11,11,17,17,17,17,17,17,17,17,17,22,22,22,22,24,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,27,29,29,29,29,29,29,29,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,42,42,42,42,42,46,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,51,55,55,55,55,55,55,55,55,55,59,59,59,59,60,60,60,61,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L2464
NIBBLES.BAS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L1540
OF,repo,README.md,14,14,15,15,15,16,17,17,17,18,18,18,19,20,20,20,20,20,21,21,22,22,22,22,23,23,24,24,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,31,31,37,37,38,38,39,39,40,41,42,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,49,49,50,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L11
OR,repo,README.md,13,13,14,14,14,15,16,16,16,17,17,17,18,19,19,19,19,19,20,20,21,21,21,21,22,22,23,23,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,30,30,36,36,37,37,38,38,39,40,41,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,47,47,47,47,48,48,48,48,48,48,49,51,51,51,51,51,51,51,51,51,53,53,53,53,53,55,55,56,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L11
PRINT,repo,README.md,38,38,45,45,45,45,54,54,54,65,65,65,69,69,69,69,69,69,74,74,75,75,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,79,79,79,79,79,80,80,100,100,100,100,101,101,101,102,102,102,104,104,104,104,104,104,104,104,104,104,105,105,105,105,110,114,120,129,129,130,130,130,133,133,133,135,135,135,135,135,138,138,138,143,143,143,147,148,148,152,153,157,157,161,168,168,168,169,171,171,173,175,181,189,189,189,189,189,189,189,189,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L2349
PUT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/examples/getput.html#L27
WARRANTIES,repo,README.md,13,13,14,14,14,15,16,16,16,17,17,17,18,19,19,19,19,19,20,20,21,21,21,21,22,22,23,23,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,30,30,36,36,37,37,38,38,39,40,41,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48,48,49,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L11
WITHOUT,repo,README.md,13,13,14,14,14,15,16,16,16,17,17,17,18,19,19,19,19,19,20,20,21,21,21,21,22,22,23,23,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,30,30,36,36,37,37,38,38,39,40,41,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48,48,49,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L11
