code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,doc_link,source_link
makeArray,repo,README.md,0,0,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L29
named,repo,README.md,0,0,0,0,0,0,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/02-jsonnet-transformations/README.md#L22
named(objectlist),repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L23
"native(""env"")",repo,README.md,0,0,0,0,0,0,0,2,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L47
"objectHas(k.metadata, 'namespace')",repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L26
"objectHas(objsKeyed, k)",repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L43
objsKeyed,repo,README.md,0,0,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L37
oldPort,repo,README.md,0,0,0,0,0,0,0,0,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L18
patchContainer,repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/service.override.jsonnet#L15
patchContainer(container),repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L5
"patchPodSpec(dep, patch)",repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L2
"patchPort(portNumber, portSpec)",repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L13
portNumber,repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L18
portSpec,repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L18
std.length(objectlist),repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L30
std.length(objs),repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L40
std.objectFields(objecthash),repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L36
std.toString(i),repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L42
std.toString(o._named_object_index),repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L37
svc:80,repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/service.override.jsonnet#L20
targetPort,repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/service.override.jsonnet#L11
when:,repo,README.md,2,2,2,2,2,2,2,4,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/kasane/ops/common.py#L87
