code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,doc_link,source_link
GooglePlayInstant,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,46,47,45,45,45,45,45,45,53,54,54,54,54,55,54,54,54,56,60,60,60,61,78,79,81,83,85,86,91,91,95,98,98,99,99,99,99,99,99,99,99,97,97,97,97,97,97,97,97,98,98,98,98,100,100,100,100,102,102,98,98,98,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/build.gradle#L52
InstallLauncher,repo,README.md,-,-,-,-,-,-,4,4,4,4,4,4,4,4,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/GooglePlayInstant/Samples/TestApp/Scripts/TestApp.cs#L95
InstallLauncher.CreatePostInstallIntent(activity),repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/e52d71fda8302e112c2615a6c10b933313e59214/GooglePlayInstant/InstallLauncher.cs#L28
InstallLauncher.GetCurrentActivity(),repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/e52d71fda8302e112c2615a6c10b933313e59214/GooglePlayInstant/InstallLauncher.cs#L27
LoadingScreen,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,15,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/GooglePlayInstant/Tests/Editor/QuickDeploy/LoadingScreenGeneratorTest.cs#L53
MonoBehaviour,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111,111,111,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/GooglePlayInstant/Samples/TestApp/Scripts/TestApp.cs#L25
PLAY_INSTANT,repo,README.md,0,0,1,1,1,2,2,2,2,2,2,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/Samples/SphereBlast/scripts/BaseGame.cs#L96
PlayInstant,repo,README.md,0,0,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/Editor/PlayInstantEditorMenu.cs#L22
"PutPostInstallIntentStringExtra(postInstallIntent, ""payload"", ""test"")",repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/e52d71fda8302e112c2615a6c10b933313e59214/GooglePlayInstant/InstallLauncher.cs#L30
SDK,repo,README.md,0,37,38,38,38,38,38,39,39,39,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,53,53,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/Editor/PlayInstantSettingPolicy.cs#L75
ShowInstallPrompt(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/Samples/TestApp/Scripts/TestApp.cs#L95
URL,repo,README.md,0,0,8,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,26,26,35,35,35,34,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,35,35,35,-,-,35,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/GooglePlayInstant/Tests/Editor/BuildSettingsWindowTests.cs#L82
UnityEngine,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,41,136,136,136,136,136,136,137,169,170,170,171,171,171,170,170,170,170,174,174,174,174,192,192,192,192,193,193,193,193,196,197,197,201,201,209,209,209,209,209,209,209,209,209,208,208,208,208,208,209,209,209,209,209,209,209,209,209,210,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/UnityPlayerHelper.cs#L15
UnityPlayerActivity,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/GooglePlayInstant/Tests/Editor/AndroidManifest/AndroidManifestHelperTests.cs#L143
VIEW,repo,README.md,0,0,0,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/Editor/AndroidManifest/AndroidManifestHelper.cs#L64
ZIP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/Editor/ZipUtils.cs#L27
action.VIEW,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/GooglePlayInstant/Editor/AndroidManifest/AndroidManifestHelper.cs#L336
android:name,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/GooglePlayInstant/Tests/Editor/AndroidManifest/AndroidManifestHelperTests.cs#L143
android:value,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/GooglePlayInstant/Editor/AndroidManifest/AndroidManifestHelper.cs#L362
category.BROWSABLE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/GooglePlayInstant/Android.cs#L43
category.DEFAULT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/GooglePlayInstant/Android.cs#L44
cookieBytes,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/CookieApi.cs#L79
onActivityResult(),repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/InstallLauncher.cs#L68
package_name,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/Editor/GooglePlayServices/AndroidSdkManager.cs#L881
postInstallIntent,repo,README.md,-,-,-,-,-,-,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/InstallLauncher.cs#L28
referrer,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/InstallLauncher.cs#L31
requestCode,repo,README.md,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/InstallLauncher.cs#L26
targetSandboxVersion,repo,README.md,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/Tests/Editor/AndroidManifest/AndroidManifestHelperTests.cs#L67
