code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,doc_link,source_link
MetricReporter,repo,README.md,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/example/SheepCounterExample.java#L34
MetricWriter,repo,README.md,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/example/SheepCounterExample.java#L35
StackdriverWriter,repo,README.md,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/stackdriver/StackdriverWriterTest.java#L64
ThreadFactory,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/metrics/src/test/java/com/google/monitoring/metrics/MetricReporterTest.java#L25
URL,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/metrics/src/test/java/com/google/monitoring/metrics/MetricSchemaTest.java#L83
artifactId,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,72,72,72,72,70,68,68,68,68,68,68,68,68,68,68,68,68,60,60,60,60,60,60,60,60,60,60,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/pom.xml#L8
com.google.monitoring-client,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/pom.xml#L7
contrib,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/pom.xml#L65
groupId,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,64,64,64,64,62,60,60,60,60,60,60,60,60,60,60,60,60,54,54,54,54,54,54,54,54,54,54,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/pom.xml#L7
main,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/example/SheepCounterExample.java#L162
metricWriter,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/metrics/src/main/java/com/google/monitoring/metrics/MetricReporter.java#L48
metrics,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,165,165,165,165,165,165,165,165,165,165,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/stackdriver/StackdriverWriterTest.java#L15
newIncrementableMetric,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/example/SheepCounterExample.java#L102
stackdriver,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/stackdriver/StackdriverWriterTest.java#L15
threadFactory,repo,README.md,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/metrics/src/test/java/com/google/monitoring/metrics/MetricReporterTest.java#L39
