code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,doc_link,source_link
BigQuery,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,24,24,24,25,25,25,29,29,30,30,30,30,30,30,30,27,27,23,23,23,23,26,26,26,26,26,26,26,28,28,32,32,32,32,32,37,37,37,37,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/setup-as-sa.sh#L24
CONFIG,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/server/server.py#L774
CSV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,10,10,10,10,10,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,18,18,18,18,18,18,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/sql/get-page-feed.sql#L19
DATASET_LOCATION,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/2c09ca65ddc98cee0d6d045443f84ed55579a992/common/config_utils.py#L147
DEVSHELL_PROJECT_ID,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/common/config_utils.py#L314
DSA,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,19,21,21,24,24,26,26,26,26,26,26,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,24,24,24,24,25,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/sql/get-products.sql#L18
DT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/b1925b52b31d1798dc61e931bf85a574bb1da604/server/server.py#L97
DataTransfer,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/frontend/src/app/shared/config.service.ts#L53
ERROR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/server/server.py#L873
GAE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,9,7,7,7,7,7,7,8,12,12,13,13,16,16,16,16,16,16,16,16,17,25,27,27,27,29,30,30,30,30,30,29,29,29,29,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,33,33,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/setup-as-sa.sh#L24
GCP,repo,README.md,-,-,-,-,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,13,13,12,14,14,14,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/server/server.py#L361
GCP_PROJECT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/common/config_utils.py#L312
GCS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,10,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,18,18,18,18,18,18,18,19,19,34,34,36,36,36,36,37,37,37,37,37,37,37,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/server/server.py#L80
GMC,repo,README.md,-,-,-,-,6,6,7,10,10,10,10,8,10,8,9,10,10,10,10,10,10,10,13,11,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,16,16,17,17,17,17,18,18,18,18,18,25,25,25,26,26,26,26,26,26,26,26,31,31,31,34,34,34,34,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,47,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/sql/create-filtered-products.sql#L15
GOOGLE_APPLICATION_CREDENTIALS,repo,README.md,-,-,-,-,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/common/config_utils.py#L321
GOOGLE_CLOUD_PROJECT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/common/config_utils.py#L313
IAM,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/install-web.sh#L18
IAP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,16,20,22,22,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,25,25,25,25,25,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/server/server.py#L123
INVALID_ARGUMENT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/install-web.sh#L22
MCA,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/frontend/src/app/setup.component.html#L41
MERCHANT_ID,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/2c09ca65ddc98cee0d6d045443f84ed55579a992/common/config_utils.py#L150
NOTE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,19,19,19,19,19,18,19,18,19,19,20,20,20,20,20,20,20,20,22,23,25,25,25,25,25,27,27,27,27,27,27,27,27,27,32,32,32,32,33,33,33,33,33,35,36,36,36,35,35,35,35,35,35,35,35,35,37,37,37,37,37,37,37,37,38,38,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/server/server.py#L38
PROJECT_ID,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,5,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/setup-as-sa.sh#L20
Project(GCP),repo,README.md,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/INSTALLATION.md#L3
SA,repo,README.md,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,5,6,6,6,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,-,-,-,-,-,-,-,-,-,https://github.com/google/product-dsa/blob/1d07e9d3054fb718b1b7eec9e7b77875932b0879/README.md,https://github.com/google/product-dsa/blob/ee598bad5a7c74aa9f5ba00ff7e242806cf4faa9/setup-as-sa.sh#L30
