code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,doc_link,source_link
Module.get_compiled_artifact,repo,README.md,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/ac4d2f997e98bb45f39d4e8665fae5becfc42f00/examples/mnist_export.py#L55
Module.like,repo,README.md,-,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/ac4d2f997e98bb45f39d4e8665fae5becfc42f00/tests/module_api_test.py#L66
Module.store_global,repo,README.md,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/ac4d2f997e98bb45f39d4e8665fae5becfc42f00/iree/jax/__init__.py#L11
PYTHONPATH,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/lit.cfg.py#L28
"Params(x, b)",repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L33
Program.export_global,repo,README.md,-,-,-,-,-,0,0,1,1,1,1,1,1,2,2,2,2,6,6,6,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/dynamic_state.py#L34
Program.get_compiled_artifact,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/examples/mnist_export.py#L55
Program.like,repo,README.md,-,-,-,-,-,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/program_api_test.py#L66
Program.store_global,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/iree/jax/__init__.py#L11
TODO,repo,README.md,-,32,32,32,32,32,31,30,30,31,31,33,33,34,34,34,34,32,31,31,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L64
TrivialKernel(),repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L60
TrivialKernel(Module),repo,README.md,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/ac4d2f997e98bb45f39d4e8665fae5becfc42f00/tests/trivial_kernel.py#L36
TrivialKernel(Program),repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L36
"_linear(m, x, b)",repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L55
"_linear(multiplier, self._params.x, self._params.b)",repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L47
get_params(self),repo,README.md,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L43
iree-compiler-snapshot,repo,README.md,-,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/a6bd60777d7db9792248acdaf27f6c6f53b254d0/setup.py#L41
iree-runtime-snapshot,repo,README.md,-,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/a6bd60777d7db9792248acdaf27f6c6f53b254d0/setup.py#L42
ireec,repo,README.md,-,0,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/iree/jax/program_api.py#L335
jax.core.AbstractValue,repo,README.md,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/iree/jax/program_api.py#L280
jax.jit,repo,README.md,-,1,1,14,14,14,14,14,12,12,12,12,12,12,12,12,12,17,17,17,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/legacy_xla/frontend_test.py#L86
jnp.ones_like,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L65
"namedtuple(""Params"", ""x,b"")",repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L31
new_params,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L51
"ones((3, 4)",repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L28
"print(""Initial params:"", m.get_params()",repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L63
"print(""Run:"", m.run(update)",repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L66
"print(""Updated params:"", m.get_params()",repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L68
print(Module.get_mlir_module(m),repo,README.md,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/ac4d2f997e98bb45f39d4e8665fae5becfc42f00/tests/trivial_kernel.py#L61
print(Program.get_mlir_module(m),repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L61
self,repo,README.md,-,270,270,321,321,321,321,321,319,319,319,319,319,327,327,330,330,401,401,401,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/tests/program/trivial_kernel.py#L44
vmfb,repo,README.md,-,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,https://github.com/google/iree-jax/blob/0092f2371f0e857f87e031ede7216e34e74e1431/README.md,https://github.com/google/iree-jax/blob/528e0f6959ed523169f959f01cd18c114313da5c/models/gpt2/config.py#L10
