code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,doc_link,source_link
ResumableAssertDebugTrap(),repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/README.md,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/Sources/ResumableAssert/ResumableAssert.m#L24
StaticString,repo,README.md,4,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/README.md,https://github.com/google/resumable-assert/blob/28f250a5f813a6aded8dbba85b5ab18c1bc2947d/Sources/ResumableAssert/ResumableAssert.swift#L30
__LINE__,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/README.md,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/Sources/ResumableAssert/include/ResumableAssert.h#L26
__condition__,repo,README.md,8,8,8,8,8,-,-,-,-,-,-,-,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/README.md,https://github.com/google/resumable-assert/blob/dcf6ca477ac9fc9e24dc6d239e01e0c9e8f406db/Sources/ResumableAssert/include/ResumableAssert.h#L26
__format__,repo,README.md,4,4,4,4,4,-,-,-,-,-,-,-,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/README.md,https://github.com/google/resumable-assert/blob/dcf6ca477ac9fc9e24dc6d239e01e0c9e8f406db/Sources/ResumableAssert/include/ResumableAssert.h#L25
lldb,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/README.md,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/Sources/ResumableAssert/include/ResumableAssert.h#L86
logger,repo,README.md,3,0,-,-,-,-,-,-,-,-,-,-,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/README.md,https://github.com/google/resumable-assert/blob/28f250a5f813a6aded8dbba85b5ab18c1bc2947d/Sources/ResumableAssert/ResumableAssert.swift#L22
nAssertion,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/README.md,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/Sources/ResumableAssert/include/ResumableAssert.h#L25
objc_library,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/README.md,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/BUILD#L15
resumableAssert,repo,README.md,1,0,-,-,-,-,-,-,-,-,-,-,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/README.md,https://github.com/google/resumable-assert/blob/28f250a5f813a6aded8dbba85b5ab18c1bc2947d/Sources/ResumableAssert/ResumableAssert.swift#L27
resumableAssertDebugTrap(),repo,README.md,-,-,1,1,-,-,-,-,-,-,-,-,https://github.com/google/resumable-assert/blob/3a6c0bd6f1e0fbc34d83a1155d23beb5b5de4781/README.md,https://github.com/google/resumable-assert/blob/61b0502497b8445213e9228c258f09196c8f5127/Sources/ResumableAssert/ResumableAssert.m#L24
