code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,doc_link,source_link
d[x],repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,114,114,115,115,115,115,116,116,118,118,119,119,119,119,119,119,123,123,127,127,127,127,127,127,127,127,130,130,130,130,130,130,130,130,130,130,130,130,130,130,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/tests/test_template.py#L72
dx,repo,README.md,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/3b8a7adf13da0bfa22c5256a7e07138b305c784d/tests/tfe_utils.py#L183
f(x),repo,README.md,-,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/tests/test_transformers.py#L21
grads.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/CONTRIBUTING.md#L24
insert_grad_of,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/tests/functions.py#L28
insert_grad_of(x),repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/tangent/utils.py#L732
inspect.getsource,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/tests/test_fence.py#L44
joint,repo,README.md,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/3b8a7adf13da0bfa22c5256a7e07138b305c784d/tests/utils.py#L123
pip,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,3,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/environment.yml#L10
result,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/tests/functions.py#L619
split,repo,README.md,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/3b8a7adf13da0bfa22c5256a7e07138b305c784d/tests/test_transformers.py#L36
tangent.grad,repo,README.md,-,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/tests/test_reverse_over_reverse.py#L36
tanh(h1),repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/tests/functions.py#L464
tf.exp,repo,README.md,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/tests/functions.py#L484
tf.matmul,repo,README.md,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/tests/functions.py#L585
tf.reduce_sum,repo,README.md,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/tests/test_hessian_vector_products.py#L58
tf_extensions,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/tangent/__init__.py#L47
x,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,606,604,603,603,603,604,606,606,611,611,614,614,614,614,614,614,625,625,636,636,636,636,636,636,636,643,655,655,655,655,655,655,655,655,655,663,663,663,663,663,https://github.com/google/tangent/blob/1a8880fef1928992b94daf424c390460981012f3/README.md,https://github.com/google/tangent/blob/6533e83af09de7345d1b438512679992f080dcc9/tests/utils.py#L80
