code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,doc_link,source_link
account_id,repo,README.md,15,15,15,15,15,15,18,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,15,15,15,15,15,15,18,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,31,31,31,31,31,31,31,31,31,31,31,31,34,34,34,32,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/test/data_filler.py#L142
accounts,repo,README.md,-,12,12,12,12,12,15,20,20,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,15,20,20,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/2c37e21e069dcb983aef114437f3eea689a4d4ee/schemas.json#L304
alligator,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,22,22,22,22,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/test/README.md#L18
annotateText,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/api.py#L339
client_secrets.json,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/api.py#L38
cluster_labels.txt,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/topic_clustering.py#L28
discovery_document,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/alligator2.ipynb#L338
gmb_discovery.json,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/api.py#L37
location_id,repo,README.md,10,10,10,10,10,10,15,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,27,10,10,10,10,10,10,15,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/test/data_filler.py#L238
locations,repo,README.md,-,13,13,13,13,13,16,22,22,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,13,13,13,16,22,22,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/2c37e21e069dcb983aef114437f3eea689a4d4ee/schemas.json#L419
no_directions,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/main.py#L166
no_hourly_calls,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/main.py#L170
no_insights,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/main.py#L154
no_reviews,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/main.py#L158
no_sentiment,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/main.py#L162
no_topic_clustering,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/main.py#L174
project_id,repo,README.md,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,32,32,32,32,32,32,32,33,33,33,33,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/main.py#L32
ref_topic,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/alligator2.ipynb#L179
reviews,repo,README.md,-,15,15,15,15,15,15,15,15,15,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,15,15,15,15,15,15,15,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/2c37e21e069dcb983aef114437f3eea689a4d4ee/schemas.json#L353
sentiment_only,repo,README.md,4,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/main.py#L32
sentiments,repo,README.md,-,11,11,11,11,11,11,11,11,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/2c37e21e069dcb983aef114437f3eea689a4d4ee/schemas.json#L2
sentiments_lastrun,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/api.py#L41
