code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,doc_link,source_link
android:layout_width,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,12,12,12,12,12,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/main/res/layout/surface_view.xml#L18
mCameraView.start(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/androidTest/java/com/google/android/cameraview/CameraViewActivity.java#L38
mCameraView.stop(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/androidTest/java/com/google/android/cameraview/CameraViewActivity.java#L43
match_parent,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,19,19,19,19,19,19,19,15,15,15,15,15,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/main/res/layout/surface_view.xml#L18
onPause(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,3,3,3,3,3,3,3,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/main/java/com/google/android/cameraview/CameraView.java#L256
onResume(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,3,3,3,3,3,3,3,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/main/java/com/google/android/cameraview/CameraView.java#L241
onStart(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/e8ae1ec05323b6a3b3fc1ad66b460da7333b7107/demo/src/main/java/com/google/android/cameraview/demo/MainActivity.java#L133
onStop(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/e8ae1ec05323b6a3b3fc1ad66b460da7333b7107/demo/src/main/java/com/google/android/cameraview/demo/MainActivity.java#L153
super.onPause(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,2,2,2,2,2,2,2,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/androidTest/java/com/google/android/cameraview/CameraViewActivity.java#L44
super.onResume(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,2,2,2,2,2,2,2,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/androidTest/java/com/google/android/cameraview/CameraViewActivity.java#L37
super.onStart(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/e8ae1ec05323b6a3b3fc1ad66b460da7333b7107/demo/src/main/java/com/google/android/cameraview/demo/MainActivity.java#L134
super.onStop(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/e8ae1ec05323b6a3b3fc1ad66b460da7333b7107/demo/src/main/java/com/google/android/cameraview/demo/MainActivity.java#L155
wrap_content,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/demo/src/main/res/layout/activity_main.xml#L27
