code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,doc_link,source_link
dirs,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/lib/finder/grep.js#L37
doc_comment,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/test/cases/variable.js#L17
false,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/test/file_test.js#L182
findFile,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/test/typemanager_test.js#L54
finder,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/closure.js#L50
findstr,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/lib/finder/grep.js#L87
function(file: string),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/lib/typemanager.js#L40
goog.provide,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,25,25,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/test/cases/providerequire.js#L15
goog.require,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/test/cases/providerequire.js#L15
grep,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/lib/finder/grep.js#L26
lib/finder,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/closure.js#L57
name,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,102,105,105,105,105,105,105,105,105,105,105,105,106,108,108,108,108,108,108,108,108,127,130,130,134,134,134,134,244,244,244,244,244,244,245,245,245,245,245,245,245,245,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/test/typemanager_test.js#L61
noMinimalLoad,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/lib/typemanager.js#L56
plugins,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/test/typemanager_test.js#L50
