code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,doc_link,source_link
MAE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,5,5,4,4,4,4,4,4,4,4,4,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/crystalvalue.py#L411
MAX,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,14,14,14,14,14,14,14,14,15,15,15,15,15,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/sql_templates/train_query.sql#L44
MIN,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,12,12,12,12,12,12,12,12,13,13,13,13,13,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/sql_templates/train_query.sql#L40
ML,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/c5da75767e646e3354562d2247539d6d57537638/demo_with_real_data_notebook.ipynb#L568
SUM,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,8,8,8,8,8,8,8,8,9,9,9,9,9,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/sql_templates/train_query.sql#L63
TODO,repo,README.md,-,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/505c40174da9699c4e1343bcf6a44fa2c9fa4b11/feature_engineering.py#L137
UI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/crystalvalue.py#L63
budget_milli_node_hours,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/crystalvalue.py#L395
crystalvalue_data_statistics,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,3,3,3,3,3,4,4,4,4,4,4,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/crystalvalue.py#L249
crystalvalue_dataset,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/crystalvalue.py#L390
crystalvalue_demo_notebook,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,3,4,-,-,-,-,-,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/a73151688d4a12e6dd45c354fe98e9453bd9ffec/demo_with_real_data_notebook.ipynb#L672
crystalvalue_evaluation,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,3,3,3,3,3,4,4,4,4,4,4,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/crystalvalue.py#L608
crystalvalue_model,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/crystalvalue.py#L361
crystalvalue_predict_data,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,5,5,5,5,5,5,8,8,8,8,8,9,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/crystalvalue.py#L155
crystalvalue_predictions,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/crystalvalue.py#L491
crystalvalue_train_data,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,5,5,5,5,5,5,7,7,7,7,7,7,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/model_evaluation.py#L136
customer_id,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,29,29,29,29,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/synthetic_data.py#L70
customer_id_column,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,34,34,35,34,34,34,34,34,34,34,34,34,34,34,34,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/sql_templates/train_query.sql#L27
date_column,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,48,48,46,45,45,45,45,45,45,45,45,45,45,45,45,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/sql_templates/train_query.sql#L28
days_lookahead,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/sql_templates/train_query.sql#L26
days_lookback,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,30,30,31,30,30,30,30,30,30,30,30,30,30,30,30,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/sql_templates/train_query.sql#L25
demo_quick_start_notebook.ipynb,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/demo_quick_start_notebook.ipynb#L203
demo_with_real_data_notebook.ipynb,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/demo_with_real_data_notebook.ipynb#L734
feature_engineering,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,17,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/synthetic_data.py#L24
ignore_columns,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,15,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/feature_engineering.py#L206
lookahead_start,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/sql_templates/train_query.sql#L53
lookahead_stop,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/sql_templates/train_query.sql#L54
model_id,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,48,49,52,52,52,52,52,52,52,52,52,52,52,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/model_evaluation.py#L135
pLTV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/demo_with_real_data_notebook.ipynb#L427
predefined_split_column,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/sql_templates/train_query.sql#L17
predicted_value,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,10,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/model_evaluation.py#L177
spearman_correlation,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/model_evaluation.py#L183
time_run,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/model_evaluation.py#L216
top_x_percent_predicted_customer_value_share,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/demo_with_real_data_notebook.ipynb#L393
transaction_value,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/crystalvalue.py#L128
value_column,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/sql_templates/train_query.sql#L29
write_executed_query_file,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/crystalvalue/blob/7040c18a8cbe88d2accfb037f65e72e51a489cb5/README.md,https://github.com/google/crystalvalue/blob/719226fb302d414e94fcdb3ac4b468977f3529ec/src/feature_engineering.py#L258
