code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,doc_link,source_link
customer_id,repo,README.md,-,-,11,11,11,11,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/0676702b6cd41ffe5d56d05bc365ed60e2f5f19b/cloud_env_setup.py#L159
en-US,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/scripts/market_insights/best_sellers_workflow.sql#L57
market_insights,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/cloud_env_setup.py#L88
market_insights_best_sellers_view,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/ea37c9226a2351d4b45c63f969bd34cd5e4119f5/scripts/market_insights/best_sellers_view.sql#L16
market_insights_historical_view,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/ea37c9226a2351d4b45c63f969bd34cd5e4119f5/scripts/market_insights/historical_view.sql#L16
market_insights_snapshot_view,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/ea37c9226a2351d4b45c63f969bd34cd5e4119f5/scripts/market_insights/snapshot_view.sql#L16
markup,repo,README.md,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/setup.sh#L20
merchant_id,repo,README.md,-,-,19,19,19,19,19,19,19,19,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,46,46,49,49,49,50,64,64,68,68,68,68,87,87,88,89,89,89,89,89,91,91,91,91,91,95,97,97,98,91,91,91,91,91,91,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/scripts/targeted_products/targeted_product_ddl.sql#L22
product_aggregated_category,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/2ea3510e17a67c4d692bfeb53fa1bf746624811c/scripts/5_product_aggregated_category_view.sql#L1
product_aggregated_label,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/2ea3510e17a67c4d692bfeb53fa1bf746624811c/scripts/6_product_aggregated_label_view.sql#L1
product_detailed,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/3b64147c3049be897de679a500111a28c02dfa95/scripts/targeted_products/targeted_product_ddl.sql#L17
product_detailed_materialized,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/scripts/materialize_product_detailed.sql#L17
product_historical_materialized,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/scripts/materialize_product_historical.sql#L19
project_id,repo,README.md,-,-,112,112,112,112,112,112,112,114,112,114,114,115,115,115,116,116,116,116,116,116,116,116,118,118,118,118,118,114,114,114,114,115,115,115,115,115,115,115,116,116,116,116,116,116,116,116,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,145,145,143,143,143,140,154,154,159,160,160,171,177,177,177,178,178,180,180,180,181,181,181,181,181,184,186,186,186,178,178,178,178,178,178,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/scripts/targeted_products/targeted_product_ddl.sql#L18
setup.sh,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,code_element is a file name
target_country,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,55,53,62,62,63,63,63,63,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/scripts/targeted_products/targeted_product_ddl.sql#L23
unique_product_id,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,38,32,32,33,33,33,33,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/scripts/materialize_product_historical.sql#L31
