code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,doc_link,source_link
commonBuilder(__dirname),repo,README.md,.,.,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/800193abaec19c4194cf7efe311cdbbda05e7d39/webpack.common.js#L25
"commonBuilder(env, argv, __dirname)",repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L25
dist,repo,README.md,.,.,-,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L235
make,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L17
modules/,repo,README.md,.,.,-,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/2feca0f8b39330a2ca876bfaa4f79a25d63d43ae/example/package-lock.json#L1997
node_modules,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/Makefile#L21
package.json,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L49
pages/index.html,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,code_element is a file name
require('../webpack.common.js'),repo,README.md,.,.,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/5de23f7a8d618e24ca2a93a2bcf3e961b32723a3/example/webpack.config.js#L1
require('pulito'),repo,README.md,.,.,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L24
webpack.config.js,repo,README.md,.,.,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L17
