code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,doc_link,source_link
DISABLE_EXCEPTIONS,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/cmake/setup_build.cmake#L30
DISABLE_RTTI,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/cmake/setup_build.cmake#L23
DXC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/CHANGES#L32
EFFCEE_BUILD_SAMPLES,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/CMakeLists.txt#L21
EFFCEE_BUILD_TESTING,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/third_party/CMakeLists.txt#L26
EFFCEE_ENABLE_SHARED_CRT,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/cmake/utils.cmake#L29
EFFCEE_GOOGLETEST_DIR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/third_party/CMakeLists.txt#L10
EFFCEE_RE2_DIR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/third_party/CMakeLists.txt#L19
EFFCEE_THIRD_PARTY_ROOT_DIR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/third_party/CMakeLists.txt#L5
EOF,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L24
FileCheck,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/effcee/effcee.h#L25
GCC,repo,README.md,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/effcee/check.cc#L93
GitHub,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/DEVELOPMENT.howto.md#L14
LABEL,repo,README.md,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/effcee/match_test.cc#L272
LICENSE,repo,README.md,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,22,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/fuzzer/effcee_fuzz.cc#L7
LLVM,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/BUILD.bazel#L8
MSVC,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/fuzzer/CMakeLists.txt#L11
Match(input_stream.str(),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L42
MinGW,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/fuzzer/CMakeLists.txt#L12
NEXT,repo,README.md,29,29,29,29,29,29,29,29,30,30,30,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/CMakeLists.txt#L22
NOT,repo,README.md,49,49,49,49,49,49,49,49,49,49,49,51,51,51,51,51,50,50,50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,58,58,58,58,58,58,58,58,58,58,58,58,58,58,62,62,62,61,61,64,64,64,64,64,64,64,64,64,64,64,64,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/third_party/CMakeLists.txt#L27
NOT:Sting,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L29
NoRules,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L51
ON,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/cmake/setup_build.cmake#L40
Options(),repo,README.md,38,38,38,38,38,38,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,37,37,37,37,37,37,37,37,37,37,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L43
SAME,repo,README.md,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/CMakeLists.txt#L21
SPIRV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/CHANGES#L32
"SetChecksName(""checks"")",repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L43
checks_stream,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L32
ctest,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/DEVELOPMENT.howto.md#L10
effcee,repo,README.md,66,66,66,66,66,67,67,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,71,71,71,71,71,71,88,102,102,102,103,103,111,111,111,111,111,111,111,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/fuzzer/effcee_fuzz.cc#L19
effcee-example,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L29
effcee-test,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/effcee/CMakeLists.txt#L21
googletest,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,9,11,11,11,11,11,11,11,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,16,16,16,16,17,17,17,17,17,17,17,17,15,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/third_party/CMakeLists.txt#L8
input_stream,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L37
"main(int argc, char* argv[])",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/fuzzer/effcee_fuzz.cc#L23
match_test,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/effcee/CMakeLists.txt#L25
re2,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,15,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,22,22,22,22,20,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/third_party/CMakeLists.txt#L17
result.message(),repo,README.md,132,132,132,132,132,132,142,142,145,146,147,162,165,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L60
result.status(),repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L50
sample_data,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L24
third_party,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/third_party/CMakeLists.txt#L6
