code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,doc_link,source_link
INT64,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/adh_deployment_manager/query.py#L46
InstalledAppFlow,repo,README.md,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,3,-,-,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/8703d51a858e60440356567f3ecda3d1f07665f6/adh_deployment_manager/authenticator.py#L45
MM,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/adh_deployment_manager/utils.py#L33
STRING,repo,README.md,-,-,-,-,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/tests/tests_query.py#L27
YYYY,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/adh_deployment_manager/utils.py#L33
YYYYMMDD,repo,README.md,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/tests/sample_config.yml#L11
adh_deployment_manager,repo,README.md,-,-,-,-,16,17,17,17,17,17,17,17,17,21,21,21,22,22,22,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/tests/tests_utils.py#L19
adm.py,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,code_element is a file name
ads_data_from,repo,README.md,-,-,-,-,-,-,-,-,-,11,15,15,11,11,11,11,11,11,11,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/adh_deployment_manager/query.py#L145
batch,repo,README.md,-,-,-,-,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/tests/tests_query.py#L46
block,repo,README.md,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/tests/tests_query.py#L45
bq_dataset,repo,README.md,-,-,-,-,7,7,7,7,7,7,7,7,7,10,7,7,7,7,7,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/tests/tests_config.py#L96
bq_project,repo,README.md,-,-,-,-,8,8,8,8,8,8,8,8,8,11,8,8,8,8,8,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/tests/tests_config.py#L96
command,repo,README.md,-,-,-,-,-,4,4,4,4,4,5,5,5,24,24,24,24,24,24,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/adm.py#L26
config.yml,repo,README.md,-,-,-,-,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/adm.py#L33
customer_ids,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/83e085f21b19e3b5e4a2304a6fd989f6125c49ee/adh_deployment_manager/deployment.py#L194
date_range_setup,repo,README.md,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/tests/sample_config.yml#L10
