code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,doc_link,source_link
MAPE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/plot.py#L428
MCMC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/models_test.py#L43
MMM,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/optimize_media.py#L191
PyPi,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/docs/index.rst#L22
ROI,repo,README.md,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,9,9,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils.py#L119
TODO,repo,README.md,-,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/51c86b3386f1556adc7dc1d6226f88c7b2e98519/lightweight_mmm_test.py#L100
budget,repo,README.md,-,19,19,19,19,19,19,19,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,35,35,35,35,35,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,48,48,48,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,59,59,59,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/optimize_media_test.py#L92
channel_names,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/plot.py#L537
cost_scaler,repo,README.md,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/lightweight_mmm.py#L364
data_size,repo,README.md,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,27,27,27,27,27,27,34,34,34,34,34,34,35,35,35,34,34,34,34,34,39,39,39,39,39,39,39,39,39,39,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L76
divide_operation,repo,README.md,-,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/preprocessing_test.py#L30
extra_features,repo,README.md,-,71,71,71,71,77,77,77,79,79,79,79,79,79,82,82,82,82,82,82,82,82,82,82,82,90,90,90,90,95,95,95,97,97,97,104,104,104,104,105,105,105,105,105,105,105,105,105,105,107,107,107,107,107,105,104,99,99,99,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L32
extra_features_scaler,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/examples/simple_end_to_end_demo.ipynb#L232
extra_features_test,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/lightweight_mmm.py#L32
extra_features_train,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/examples/simple_end_to_end_demo.ipynb#L171
file_path,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,19,19,19,19,19,19,19,19,19,19,19,19,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L45
find_optimal_budgets,repo,README.md,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/optimize_media_test.py#L133
fit_transform,repo,README.md,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,9,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/preprocessing_test.py#L295
fit_transform(media_data_train),repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/examples/simple_end_to_end_demo.ipynb#L236
fit_transform(target_train),repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/examples/simple_end_to_end_demo.ipynb#L238
get_posterior_metrics,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/5272df535e5dbcb1585ed6aab1e7609ac475e298/lightweight_mmm/plot.py#L499
lightweightMMM,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/b932b9bd4d1c19049ab3c2f857d5fadd4f55c121/lightweight_mmm/models.py#L15
lightweight_mmm,repo,README.md,-,47,47,47,47,56,56,56,56,56,58,58,62,62,62,62,64,64,64,64,64,64,64,64,64,67,69,69,90,92,92,92,92,92,92,103,103,104,82,76,76,77,77,78,78,78,78,78,78,78,78,80,80,80,81,75,73,73,73,86,86,86,86,86,86,86,86,86,89,89,89,89,105,105,105,105,105,105,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/setup.py#L15
lightweight_mmm.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,code_element is a file name
media,repo,README.md,-,-,-,-,-,-,-,-,-,-,162,162,171,171,171,171,182,182,182,182,181,181,181,182,182,193,195,195,195,199,199,199,200,200,200,211,211,211,211,212,212,216,216,216,218,218,218,218,218,218,218,218,218,218,224,232,236,236,236,247,247,247,247,247,247,247,247,247,247,247,247,247,248,248,248,249,249,249,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L31
media_data,repo,README.md,-,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,45,45,45,45,45,45,49,49,49,49,49,49,49,49,49,50,50,50,50,50,54,54,54,54,54,65,65,65,65,65,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L99
media_data_test,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/lightweight_mmm.py#L32
media_data_train,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/examples/simple_end_to_end_demo.ipynb#L168
media_effect_hat,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/lightweight_mmm.py#L29
media_gap,repo,README.md,-,-,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/optimize_media_test.py#L76
media_mix_model,repo,README.md,-,37,37,37,37,47,47,47,50,50,50,50,56,56,56,56,59,60,60,60,60,61,61,60,60,75,77,77,77,77,77,77,77,77,77,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,116,122,122,122,127,127,127,127,127,127,127,127,127,127,127,127,127,129,129,129,129,129,129,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L46
media_names,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/plot.py#L281
media_scaler,repo,README.md,-,24,24,24,24,24,24,24,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,45,45,45,45,45,45,45,45,45,45,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49,49,49,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/plot_test.py#L174
media_transforms.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,code_element is a file name
mmm.get_posterior_metrics,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/lightweight_mmm.py#L29
mmm.predict,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/plot.py#L517
