code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,doc_link,source_link
ETA,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/cmd/webpkgserver/README.md#L382
GO111MODULE=on,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/22550a612d76d7bd88229110912845f4d9f15141/.travis.yml#L4
GoDoc,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/server/handler.go#L46
HTML,repo,README.md,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,23,23,23,23,23,23,24,25,25,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,33,33,33,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,41,41,41,41,41,41,41,39,39,39,39,39,39,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/server/from_toml.go#L144
HTTP,repo,README.md,53,53,53,53,53,54,54,54,57,57,57,57,57,57,57,57,58,58,58,62,68,68,68,68,69,73,73,73,73,73,73,73,73,76,76,76,76,73,73,73,73,73,71,71,71,103,103,103,103,104,104,105,105,105,105,105,110,110,111,111,111,111,112,112,112,112,112,112,112,112,112,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,110,110,110,111,111,111,111,111,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/validity/url_rule.go#L26
HTTP:Accept,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/cmd/webpkgserver/README.md#L338
Link,repo,README.md,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,105,105,105,105,106,106,106,106,106,78,78,78,85,85,85,85,85,85,87,87,87,87,87,87,87,110,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,107,107,107,107,107,107,107,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/testdata/sxg/gen_sxg_files.sh#L25
README,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/server/doc.go#L19
REQUEST_URI,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/cmd/webpkgserver/README.md#L339
RewriteCond,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/cmd/webpkgserver/README.md#L338
RewriteEngine,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/cmd/webpkgserver/README.md#L337
RewriteRule,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/cmd/webpkgserver/README.md#L339
SXG,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,62,62,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,65,74,74,79,79,79,79,79,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/server/tomlconfig/verify.go#L44
URL,repo,README.md,114,114,114,114,114,114,114,114,116,118,118,126,126,126,126,126,128,128,128,128,128,128,127,127,127,127,127,127,127,127,127,127,127,151,151,151,151,158,160,160,160,168,154,154,154,222,222,222,222,224,224,228,230,230,230,230,231,231,231,231,231,231,235,235,235,235,235,234,234,234,234,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,236,236,239,239,240,240,240,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/validity/url_rule.go#L23
Variant-Key,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/cmd/webpkgserver/README.md#L381
Variants,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/resource/resource.go#L94
Vary,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/resource/cache/memory.go#L30
WICG,repo,README.md,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/task.go#L25
cache_requirements,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/processor/commonproc/preload.go#L41
cert.cbor,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,12,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/testdata/sxg/gen_sxg_files.sh#L14
cert_cbor,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/cmd/webpackager/flag_packager.go#L51
cert_url,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/cmd/webpackager/flag_packager.go#L52
hello.html,repo,README.md,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,39,39,39,39,41,47,47,47,47,47,47,47,47,47,47,47,47,47,49,49,49,49,46,46,46,46,46,43,43,43,59,59,59,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/urlrewrite/basic_test.go#L40
https://example.com/bar/,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/internal/urlutil/urlutil_test.go#L105
https://example.com/foo/,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/urlrewrite/example_test.go#L27
private_key,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/testdata/openssl.cnf#L17
supported-media,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/docs/supported_media_analysis.md#L1
supported_media,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/docs/supported_media_analysis.md#L3
sxg,repo,README.md,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,64,64,64,64,64,64,64,64,64,64,64,64,79,79,79,79,79,79,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,82,82,82,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,84,84,88,88,88,88,88,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/testdata/sxg/gen_sxg_files.sh#L18
sxg_dir,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/cmd/webpackager/flag_packager.go#L70
url_file,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/webpackager/blob/23d4e326486372410d721fdf50ea9191e54df973/README.md,https://github.com/google/webpackager/blob/d37a9e312b44e628a3a7746ee6e2ef26175fb5dd/cmd/webpackager/flag_urllist.go#L33
