code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,doc_link,source_link
Snippet,repo,README.md,.,.,.,.,.,.,34,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mobly-snippet-lib/blob/1706b214ea71a169685b24ba18583d899009c881/README.md,https://github.com/google/mobly-snippet-lib/blob/171092d2b296115510b5bc0b3cf224a4b05fc638/third_party/sl4a/src/main/java/com/google/android/mobly/snippet/service/SnippetService.java#L69
UI,repo,README.md,.,.,.,.,.,.,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/mobly-snippet-lib/blob/1706b214ea71a169685b24ba18583d899009c881/README.md,https://github.com/google/mobly-snippet-lib/blob/e0279bbbfe3c8050e9a62c0e76e705f26b469884/examples/ex5_schedule_rpc/src/main/java/com/google/android/mobly/snippet/example5/ExampleScheduleRpcSnippet.java#L79
UIAutomator,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/mobly-snippet-lib/blob/1706b214ea71a169685b24ba18583d899009c881/README.md,https://github.com/google/mobly-snippet-lib/blob/e0279bbbfe3c8050e9a62c0e76e705f26b469884/examples/ex4_uiautomator/src/main/java/com/google/android/mobly/snippet/example4/UiAutomatorSnippet.java#L36
android:name,repo,README.md,.,.,.,.,.,.,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mobly-snippet-lib/blob/1706b214ea71a169685b24ba18583d899009c881/README.md,https://github.com/google/mobly-snippet-lib/blob/171092d2b296115510b5bc0b3cf224a4b05fc638/third_party/sl4a/src/main/AndroidManifest.xml#L3
android:value,repo,README.md,.,.,.,.,.,.,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mobly-snippet-lib/blob/1706b214ea71a169685b24ba18583d899009c881/README.md,https://github.com/google/mobly-snippet-lib/blob/171092d2b296115510b5bc0b3cf224a4b05fc638/example/src/main/AndroidManifest.xml#L10
build.gradle,repo,README.md,.,.,.,.,.,.,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mobly-snippet-lib/blob/1706b214ea71a169685b24ba18583d899009c881/README.md,https://github.com/google/mobly-snippet-lib/blob/171092d2b296115510b5bc0b3cf224a4b05fc638/build.gradle#L11
getFoo(Integer input),repo,README.md,.,.,.,.,.,.,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mobly-snippet-lib/blob/1706b214ea71a169685b24ba18583d899009c881/README.md,https://github.com/google/mobly-snippet-lib/blob/171092d2b296115510b5bc0b3cf224a4b05fc638/example/src/main/java/com/google/android/mobly/snippet/example/ExampleSnippet.java#L28
meta-data,repo,README.md,.,.,.,.,.,.,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mobly-snippet-lib/blob/1706b214ea71a169685b24ba18583d899009c881/README.md,https://github.com/google/mobly-snippet-lib/blob/171092d2b296115510b5bc0b3cf224a4b05fc638/example/src/main/AndroidManifest.xml#L8
scheduleRpc,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/mobly-snippet-lib/blob/1706b214ea71a169685b24ba18583d899009c881/README.md,https://github.com/google/mobly-snippet-lib/blob/e0279bbbfe3c8050e9a62c0e76e705f26b469884/third_party/sl4a/src/main/java/com/google/android/mobly/snippet/util/RpcUtil.java#L63
shutdown(),repo,README.md,.,.,.,.,.,.,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mobly-snippet-lib/blob/1706b214ea71a169685b24ba18583d899009c881/README.md,https://github.com/google/mobly-snippet-lib/blob/171092d2b296115510b5bc0b3cf224a4b05fc638/third_party/sl4a/src/main/java/com/google/android/mobly/snippet/rpc/SnippetManager.java#L94
snippet,repo,README.md,.,.,.,.,.,.,-,-,99,99,103,94,94,94,94,94,94,94,96,96,100,105,105,105,111,114,114,115,115,115,130,130,146,145,147,147,152,152,152,152,171,173,173,173,173,202,200,200,203,203,203,203,203,203,203,203,203,203,203,240,240,233,233,233,233,233,233,237,237,237,237,238,239,239,239,239,240,239,239,239,239,https://github.com/google/mobly-snippet-lib/blob/1706b214ea71a169685b24ba18583d899009c881/README.md,https://github.com/google/mobly-snippet-lib/blob/e0279bbbfe3c8050e9a62c0e76e705f26b469884/third_party/sl4a/src/main/java/com/google/android/mobly/snippet/util/SnippetLibException.java#L17
snippets,repo,README.md,.,.,.,.,.,.,-,-,12,12,13,13,13,13,13,13,13,13,11,11,11,11,11,11,13,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/mobly-snippet-lib/blob/1706b214ea71a169685b24ba18583d899009c881/README.md,https://github.com/google/mobly-snippet-lib/blob/e0279bbbfe3c8050e9a62c0e76e705f26b469884/third_party/sl4a/src/main/java/com/google/android/mobly/snippet/util/EmptyTestClass.java#L24
xmlns:android,repo,README.md,.,.,.,.,.,.,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mobly-snippet-lib/blob/1706b214ea71a169685b24ba18583d899009c881/README.md,https://github.com/google/mobly-snippet-lib/blob/171092d2b296115510b5bc0b3cf224a4b05fc638/third_party/sl4a/src/main/AndroidManifest.xml#L1
