code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,doc_link,source_link
JSON,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,274,274,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/web-server/tweakr-server/src/app/setup/setup.component.ts#L10
NOT,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,110,110,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/web-server/tweakr-server/src/polyfills.ts#L41
PreferenceFragment,repo,README.md,0,0,0,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,4,4,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/docs/html/classcom_1_1google_1_1tweakr_1_1preferences_1_1_tweakr_preferences_repo.html#L185
PreferenceScreen,repo,README.md,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/android-sample/app/src/main/java/com/google/tweakr/sample/preferences/TweakrPreferencesActivity.java#L29
SUPPORT,repo,README.md,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/455e163d581fd77339cf6dde6fc6d7477248d34b/android-sample/app/src/main/java/com/google/tweakr/sample/SampleApplication.java#L32
SampleApplication,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/android-sample/app/src/main/java/com/google/tweakr/sample/SampleApplication.java#L22
SharedPreferences,repo,README.md,0,0,0,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,24,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/docs/html/search/functions_8.js#L3
TODO,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,654,654,654,654,654,654,654,654,654,654,654,655,655,655,655,655,655,654,654,654,654,652,652,652,652,652,653,652,652,652,651,651,650,650,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/easyserver/vendor-es5.js.map#L1
Tweakr.addListener(),repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/docs/html/search/functions_0.js#L4
Tweakr.register(this),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/android-sample/app/src/main/java/com/google/tweakr/sample/MainActivity.java#L41
TweakrFirebaseRepo,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,93,93,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/docs/html/search/functions_6.js#L4
TweakrFirebaseRepoEmailAuth.java,repo,README.md,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,code_element is a file name
TweakrPreferencesActivity,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/android-sample/app/src/main/java/com/google/tweakr/sample/preferences/TweakrPreferencesActivity.java#L31
TweakrPreferencesRepo,repo,README.md,-,-,-,-,-,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/2ccffc6a73018245e097f774685fa7991aa76073/android/tweakr/src/main/java/com/google/tweakr/preferences/TweakrPreferencesRepo.java#L48
UI,repo,README.md,15,15,15,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,100,100,100,100,100,100,100,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,105,105,105,105,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,138,138,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/easyserver/vendor-es5.js.map#L1
ValueType,repo,README.md,45,45,45,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,156,156,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/docs/html/search/functions_3.js#L4
android-sample,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/release.sh#L9
app.component.ts,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/easyserver/main-es5.js.map#L1
app/build.gradle,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,code_element is a file name
applicationId,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/easyserver/tweak-tweak-module-es5.js.map#L1
classcom_1_1google_1_1tweakr_1_1_tweakr,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/docs/html/search/functions_7.js#L3
firebaseConfig,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/web-server/tweakr-server/src/app/setup/setup.component.html#L21
onCreate(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,5,5,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/docs/html/classcom_1_1google_1_1tweakr_1_1_tweakr.html#L110
setRepo(new TweakrFirebaseRepo(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,0,0,0,0,0,0,0,0,0,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/dd8d74f9b2b1c79e9a5e3b46ebf142db56b33e27/android-sample/app/src/main/java/com/google/tweakr/sample/SampleApplication.java#L35
setRepo(new TweakrFirebaseRepoEmailAuth(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/4f5091f0efd66a84e216938c063b08fa0baf3167/android-sample/app/src/main/java/com/google/tweakr/sample/SampleApplication.java#L38
setRepo(new TweakrPreferencesRepo(this),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/README.md,https://github.com/google/tweakr/blob/76d0b1eaab0e88400b9e588f2ba16cd44bfbf558/android-sample/app/src/main/java/com/google/tweakr/sample/SampleApplication.java#L29
