code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,doc_link,source_link
HParams(base_task.BaseTask.HParams),repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks_lib.py#L196
IS,repo,README.md,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/trainer_lib.py#L11
JAX,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks_lib.py#L130
KIND,repo,README.md,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/trainer_lib.py#L12
LICENSE,repo,README.md,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/trainer_lib.py#L8
LLC,repo,README.md,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/trainer_lib.py#L2
LanguageModel,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks/lm/model_params.py#L403
LingvoInputAdaptor,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks/lm/params/lm_cloud.py#L46
LossAggregator,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/trainer_lib.py#L137
ML,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks/lm/params/bert.py#L37
MultiLoss,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks_lib.py#L206
N,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/checkpoint_managers.py#L73
NestedMap,repo,README.md,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/trainer_lib.py#L42
OF,repo,README.md,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/trainer_lib.py#L12
OR,repo,README.md,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/trainer_lib.py#L12
PERCORE_BATCH_SIZE,repo,README.md,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks/lm/params/optimal_scaling.py#L30
RELU,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks/lm/params/bert.py#L88
SeqIO,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/seqio_input.py#L16
SeqIOInput,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks/lm/params/c4.py#L121
SequenceModel,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/seqio_input.py#L601
SingleTask,repo,README.md,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/trainer_lib.py#L71
StopIteration,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/train.py#L317
TPU,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/trainer_lib.py#L639
WARRANTIES,repo,README.md,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/trainer_lib.py#L12
WITHOUT,repo,README.md,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/trainer_lib.py#L12
batch_size,repo,README.md,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/train.py#L717
eval_loop_num_batches,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks/lm/params/c4.py#L133
get_next(),repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/train.py#L840
get_next(self),repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks/lm/input_generator.py#L96
infeed_host_index,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/train.py#L258
inp.get_next,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks/lm/input_generator_test.py#L44
input,repo,README.md,83,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/trainer_lib.py#L207
input_dims,repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks_lib_test.py#L60
jax.local_device_count,repo,README.md,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/train.py#L456
loss_aggregator,repo,README.md,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/trainer_lib.py#L137
num_infeed_hosts,repo,README.md,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/train.py#L256
output_dims,repo,README.md,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks_lib_test.py#L61
p,repo,README.md,252,254,254,254,254,254,254,256,256,256,256,256,256,256,256,256,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/train.py#L485
p.batch_size,repo,README.md,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks/lm/params/bert.py#L43
p.eval_loop_num_batches,repo,README.md,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/train.py#L488
p.infeed_host_index,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks/lm/input_generator.py#L231
p.reset_for_eval,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/train.py#L490
p.reset_for_eval=True,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/seqio_input.py#L279
predict_metric_fns,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/seqio_input.py#L308
reset(self),repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks/lm/input_generator.py#L101
reset_for_eval,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks/lm/params/c4.py#L135
super(),repo,README.md,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks_lib.py#L224
tf.data,repo,README.md,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/paxml/blob/6653b0d8aa9a9aa435466a6011b07d5dc41864fa/README.md,https://github.com/google/paxml/blob/126e79819b5901094fb425078386f7c1d30b3790/paxml/tasks/lm/input_generator.py#L171
