code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,doc_link,source_link
GitHub,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/dist/index.js#L1535
REPOSITORIES,repo,README.md,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,18,18,18,18,22,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/src/main.ts#L51
SECRETS,repo,README.md,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,18,18,18,18,19,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/src/main.ts#L35
URL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,17,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/dist/index.js#L1100
concurrency,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/dist/index.js#L595
delete,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,29,29,29,29,29,29,31,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/dist/index.js#L1060
dry_run,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/src/github.ts#L199
env,repo,README.md,58,58,58,58,58,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,61,61,65,65,69,69,69,69,69,69,50,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/src/secrets.ts#L22
environment,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/src/secrets.ts#L20
false,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122,122,132,133,133,133,133,133,133,112,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/src/github.ts#L55
github_api_url,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/action.yml#L12
github_token,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/action.yml#L9
process.env,repo,README.md,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,39,39,39,39,39,48,48,48,48,48,48,42,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/src/secrets.ts#L26
repositories,repo,README.md,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,18,47,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/src/github.ts#L120
repositories_list_regex,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/action.yml#L25
retries,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/src/github.ts#L40
secrets,repo,README.md,42,42,42,42,42,42,42,42,42,42,39,39,39,39,39,42,42,42,42,43,43,43,43,43,39,39,39,39,39,39,39,39,46,46,46,46,46,46,46,78,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/src/main.ts#L29
true,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1007,1010,1010,1010,1010,1010,1010,1011,1011,1014,1014,1014,1117,1122,2059,2059,2059,2060,2060,2060,2106,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/tsconfig.json#L7
{{github.repository}},repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/7833e9c761d8f3ea200fe1b19f1b6a85c15dd7fa/.github/workflows/release.yml#L33
{{github.run_id}},repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/.github/workflows/release.yml#L37
