code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,doc_link,source_link
CloudSpeechSessionParams,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/proto/com/google/audio/asr/cloud_speech_session_params.proto#L12
CloudSpeechSessionParams.newBuilder(),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/MainActivity.java#L175
FLAC,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/proto/com/google/audio/codec_and_bitrate.proto#L8
ID,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/res/values/languages.xml#L74
MainActivity,repo,README.md,-,-,-,-,-,-,-,-,-,3,3,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/res/layout/activity_main.xml#L8
NDK,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/third_party/build/build_all.sh#L14
PCM,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/StreamingAudioEncoder.java#L33
RepeatingRecognitionSession,repo,README.md,25,25,25,25,25,25,25,25,25,25,25,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/asr/cloud/CloudSpeechStreamObserver.java#L43
SDK,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/build_all.sh#L23
StreamingAudioEncoder,repo,README.md,-,-,-,-,-,-,-,-,-,8,8,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/asr/cloud/CloudSpeechSession.java#L25
US,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/res/values/languages.xml#L48
VBR,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/StreamingAudioEncoder.java#L277
WB,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/StreamingAudioEncoder.java#L38
WiFi,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/proto/com/google/audio/network_state.proto#L9
build_all,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/build_all.sh#L12
low_latency_mode,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/cpp/ogg_opus_encoder.h#L41
setCodec(CodecAndBitrate.OGG_OPUS_BITRATE_32KBPS),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/MainActivity.java#L183
"setModel(""video"")",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/asr/cloud/CloudSpeechSession.java#L242
