code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,doc_link,source_link
Ok(_),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,3,3,3,3,3,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/result.rs#L97
SIGINT,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,2,2,2,2,3,3,3,3,3,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/process_manager.rs#L51
SIGTERM,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,6,6,6,6,8,8,8,8,8,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/tests/shell_tests.rs#L43
ShellChild,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,10,10,10,10,10,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/shell_command.rs#L15
ShellComamnd,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,1,1,1,1,1,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L142
ShellComamnd::run(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,1,1,1,1,1,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L109
ShellCommand,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,7,7,7,11,11,11,11,11,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/shell_command.rs#L21
ShellCommand#run(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,1,1,1,1,1,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L48
ShellHandle,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,8,8,8,8,8,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/shell_child.rs#L77
ShellHandle#signal(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,1,1,1,1,1,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L108
ShellResult,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,26,26,26,26,22,22,22,22,24,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/tests/shell_tests.rs#L21
ShellResultExt,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,7,7,7,7,7,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/shell_child.rs#L20
assert_eq,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,13,13,13,13,13,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/tests/shell_tests.rs#L93
child.wait(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,4,4,4,4,4,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/shell_child.rs#L67
cmd!,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,24,24,24,23,-,-,-,-,-,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/e06535a4291f2969abd8ed99099023c6d6d33f00/tests/shell_tests.rs#L17
delegate_signal(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,0,-,-,-,-,-,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/d9710a416cf5b7f8e990746ebc27ae4fb95fc7b9/tests/shell_tests.rs#L76
handle.join(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,1,1,1,1,1,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L123
is_ok(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,4,4,4,4,4,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/tests/shell_tests.rs#L42
lock.as_mut,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,2,2,2,2,2,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/shell_child.rs#L135
macro_use,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,12,12,12,12,12,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/tests/shell_tests.rs#L15
new(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,10,10,10,10,10,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/shell_child.rs#L132
ok(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,2,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/result.rs#L75
read_to_string(&mut str),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,1,1,1,1,1,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L165
result.is_err,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,2,2,2,2,2,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L97
result.status(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,2,2,2,2,2,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L98
run!,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,1,1,1,1,1,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L25
run(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,1,1,1,1,1,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L25
shell::spawn,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,6,6,6,6,6,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/tests/shell_tests.rs#L37
shell_child,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,9,9,9,9,9,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/shell_command.rs#L15
shell_command,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,6,6,6,6,6,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L153
shell_function(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,2,2,2,2,2,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L57
signal(libc::SIGINT),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,2,2,2,2,2,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L95
spawn(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,4,4,4,4,4,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/shell_command.rs#L35
std::process::Child,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,3,3,3,3,3,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/shell_child.rs#L24
std::process::Command,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,6,6,6,6,6,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/shell_command.rs#L18
std::thread::JoinHandle,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,2,2,2,2,2,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/local_shell.rs#L23
std::thread::spawn,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,1,1,1,1,1,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L105
stdout(Stdio::piped(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,2,2,2,2,2,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/shell_command.rs#L43
stdout.as_mut,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,2,2,2,2,2,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/shell_child.rs#L136
stdout_utf8(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,3,3,3,3,3,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/shell_command.rs#L44
trap_signal_and_wait_children(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,4,4,4,4,4,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/tests/shell_tests.rs#L91
