code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,doc_link,source_link
TOKEN,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/README.md,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/domaintest-war/src/test/java/foo/domaintest/http/TokenActionTest.java#L19
Test,repo,README.md,.,.,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,-,-,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/README.md,https://github.com/google/domaintest/blob/09824ae0d10e2742ff4eee1c15c04c33131a7493/pom.xml#L83
URL,repo,README.md,.,.,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/README.md,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/domaintest-war/src/main/java/foo/domaintest/email/Emailer.java#L39
XSS,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/README.md,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/domaintest-war/src/main/java/foo/domaintest/RootServlet.java#L84
application/x-www-form-urlencoded,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/README.md,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/domaintest-war/src/main/java/foo/domaintest/email/Emailer.java#L49
gTLD,repo,README.md,.,.,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/README.md,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/domaintest-war/src/main/resources/foo/domaintest/landing/template.html#L64
multipart/form-data,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/README.md,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/domaintest-war/src/main/java/foo/domaintest/http/HttpApiModule.java#L113
payload,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/README.md,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/domaintest-war/src/test/java/foo/domaintest/http/TempActionTest.java#L66
postpayload,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/README.md,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/domaintest-war/src/test/java/foo/domaintest/http/HttpApiModuleTest.java#L215
stash,repo,README.md,.,.,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/README.md,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/domaintest-war/src/test/java/foo/domaintest/http/StashToTempTest.java#L55
token,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/README.md,https://github.com/google/domaintest/blob/a4a2dea7b7c22eb31db91e54927b78b6d38e1d12/domaintest-war/src/test/java/foo/domaintest/http/TokenActionTest.java#L47
